Raman Shift (cm-1),reference styrene
2606,285.216888427734
2605,273.832763671875
2604,261.670745849609
2603,260.842895507813
2602,268.528106689453
2601,273.588897705078
2600,266.040740966797
2599,254.810745239258
2598,244.524703979492
2597,232.041366577148
2596,231.151016235352
2595,234.073715209961
2594,221.604858398438
2593,211.070297241211
2592,206.697052001953
2591,204.853012084961
2590,214.651504516602
2589,212.49658203125
2588,189.041931152344
2587,190.045608520508
2586,200.57585144043
2585,198.875946044922
2584,197.029891967773
2583,203.562835693359
2582,211.440765380859
2581,205.484359741211
2580,202.807968139648
2579,207.659423828125
2578,206.088897705078
2577,194.306091308594
2576,185.240921020508
2575,189.795059204102
2574,186.769638061523
2573,181.262100219727
2572,186.075790405273
2571,189.507034301758
2570,185.350387573242
2569,176.584533691406
2568,172.664306640625
2567,172.489639282227
2566,169.99870300293
2565,161.838287353516
2564,160.826461791992
2563,165.485076904297
2562,159.623153686523
2561,155.737655639648
2560,162.207061767578
2559,173.695358276367
2558,176.492721557617
2557,169.190277099609
2556,161.85107421875
2555,164.895919799805
2554,168.078231811523
2553,163.819381713867
2552,173.015731811523
2551,174.900894165039
2550,157.389282226563
2549,157.989334106445
2548,166.530334472656
2547,167.472198486328
2546,168.781723022461
2545,169.334457397461
2544,164.867065429688
2543,154.605117797852
2542,149.346481323242
2541,155.783218383789
2540,168.147155761719
2539,164.37158203125
2538,153.209655761719
2537,159.209136962891
2536,164.839553833008
2535,163.022766113281
2534,161.385147094727
2533,168.019668579102
2532,168.90771484375
2531,156.626098632813
2530,161.429809570313
2529,166.644897460938
2528,156.458023071289
2527,159.446273803711
2526,160.727172851563
2525,150.242523193359
2524,152.63249206543
2523,159.420043945313
2522,157.994216918945
2521,151.214309692383
2520,156.37678527832
2519,165.590286254883
2518,151.767562866211
2517,145.764312744141
2516,148.285125732422
2515,132.591125488281
2514,132.44255065918
2513,142.578414916992
2512,133.893020629883
2511,138.97021484375
2510,149.655410766602
2509,138.369705200195
2508,127.898658752441
2507,129.825424194336
2506,137.7294921875
2505,135.52815246582
2504,129.912826538086
2503,129.418746948242
2502,122.282196044922
2501,119.460060119629
2500,129.570617675781
2499,137.34033203125
2498,138.139831542969
2497,136.451202392578
2496,139.878356933594
2495,143.384017944336
2494,146.804382324219
2493,158.104949951172
2492,159.725158691406
2491,155.26530456543
2490,172.747909545898
2489,189.189147949219
2488,198.488647460938
2487,217.676879882813
2486,219.460327148438
2485,206.317504882813
2484,207.482238769531
2483,206.101440429688
2482,192.192321777344
2481,175.989974975586
2480,180.81169128418
2479,189.08757019043
2478,172.748504638672
2477,167.098999023438
2476,177.185409545898
2475,185.435256958008
2474,191.170715332031
2473,190.698883056641
2472,183.164138793945
2471,181.065292358398
2470,181.130157470703
2469,179.415054321289
2468,189.162933349609
2467,198.602874755859
2466,196.782653808594
2465,198.818893432617
2464,196.239242553711
2463,186.707733154297
2462,195.01188659668
2461,202.909271240234
2460,197.751434326172
2459,203.531463623047
2458,211.001449584961
2457,210.609710693359
2456,212.435775756836
2455,213.351104736328
2454,211.623321533203
2453,213.352264404297
2452,214.551132202148
2451,209.4267578125
2450,196.760131835938
2449,185.925704956055
2448,182.625228881836
2447,182.516860961914
2446,174.154586791992
2445,161.826354980469
2444,163.371368408203
2443,168.254043579102
2442,164.742248535156
2441,153.011642456055
2440,150.813430786133
2439,157.643676757813
2438,155.117172241211
2437,144.679718017578
2436,135.494750976563
2435,135.96794128418
2434,142.511032104492
2433,149.914001464844
2432,154.002532958984
2431,151.152221679688
2430,149.951644897461
2429,161.438293457031
2428,170.199310302734
2427,165.791900634766
2426,151.010650634766
2425,141.679168701172
2424,140.627822875977
2423,140.908889770508
2422,143.394866943359
2421,141.934066772461
2420,132.298706054688
2419,133.656982421875
2418,140.931198120117
2417,138.330490112305
2416,139.483993530273
2415,139.943725585938
2414,131.089691162109
2413,137.21826171875
2412,145.276885986328
2411,130.62451171875
2410,119.438896179199
2409,124.112739562988
2408,135.052932739258
2407,129.210235595703
2406,119.468254089355
2405,127.158592224121
2404,129.374435424805
2403,128.172058105469
2402,135.000335693359
2401,130.808990478516
2400,116.531257629395
2399,108.109130859375
2398,114.946166992188
2397,122.768264770508
2396,115.125762939453
2395,107.495475769043
2394,105.562423706055
2393,104.704307556152
2392,100.35334777832
2391,99.2715072631836
2390,111.435913085938
2389,134.468505859375
2388,149.244354248047
2387,144.232315063477
2386,149.160339355469
2385,152.35124206543
2384,130.735565185547
2383,114.179023742676
2382,114.492057800293
2381,121.393447875977
2380,116.609939575195
2379,105.656402587891
2378,106.448715209961
2377,121.831367492676
2376,133.998092651367
2375,126.836204528809
2374,122.83617401123
2373,131.108322143555
2372,141.690872192383
2371,134.591125488281
2370,126.013305664063
2369,139.27360534668
2368,139.104049682617
2367,128.279998779297
2366,132.841781616211
2365,136.854568481445
2364,133.257858276367
2363,129.220718383789
2362,133.489364624023
2361,142.103164672852
2360,143.981674194336
2359,140.001083374023
2358,137.795333862305
2357,143.792953491211
2356,148.395919799805
2355,150.842178344727
2354,157.053085327148
2353,157.966888427734
2352,157.774032592773
2351,168.509826660156
2350,172.623565673828
2349,162.779571533203
2348,150.984619140625
2347,156.407608032227
2346,170.554351806641
2345,164.821731567383
2344,155.636047363281
2343,151.08479309082
2342,140.854782104492
2341,136.587951660156
2340,142.235595703125
2339,145.478271484375
2338,138.045028686523
2337,124.662048339844
2336,121.404296875
2335,127.940170288086
2334,133.069366455078
2333,124.677093505859
2332,124.478477478027
2331,137.747406005859
2330,134.673675537109
2329,129.792144775391
2328,133.230621337891
2327,123.572311401367
2326,114.987251281738
2325,119.125755310059
2324,117.415496826172
2323,111.392845153809
2322,110.02912902832
2321,114.532211303711
2320,116.172401428223
2319,109.608093261719
2318,105.358108520508
2317,107.663345336914
2316,113.500900268555
2315,114.462707519531
2314,105.558082580566
2313,91.2150955200195
2312,90.8947219848633
2311,100.756996154785
2310,104.063499450684
2309,98.1811828613281
2308,90.3097686767578
2307,89.8343048095703
2306,95.0716781616211
2305,96.5266952514648
2304,87.7497024536133
2303,88.5738143920898
2302,97.7359924316406
2301,96.248176574707
2300,95.395637512207
2299,96.8734588623047
2298,88.388427734375
2297,77.6375274658203
2296,76.1324157714844
2295,88.5286483764648
2294,97.3430099487305
2293,95.0803909301758
2292,94.7793807983398
2291,95.9271240234375
2290,93.722282409668
2289,86.8457717895508
2288,84.0414581298828
2287,88.2396621704102
2286,87.2116012573242
2285,84.5739212036133
2284,84.6712799072266
2283,78.1640090942383
2282,71.0251770019531
2281,70.8961944580078
2280,68.8443145751953
2279,69.5690155029297
2278,78.3453598022461
2277,76.6251907348633
2276,69.5736846923828
2275,74.9437713623047
2274,85.836540222168
2273,90.7041778564453
2272,84.5605163574219
2271,84.7572860717773
2270,91.6818161010742
2269,89.4311370849609
2268,85.7328186035156
2267,84.9185180664063
2266,83.1018447875977
2265,92.7754745483398
2264,107.495330810547
2263,97.215446472168
2262,87.2045745849609
2261,96.6223297119141
2260,103.470344543457
2259,106.900100708008
2258,111.285026550293
2257,110.840454101563
2256,110.086456298828
2255,112.415161132813
2254,106.832710266113
2253,101.954246520996
2252,110.041488647461
2251,116.926811218262
2250,115.419624328613
2249,108.563636779785
2248,104.183013916016
2247,105.792984008789
2246,111.528518676758
2245,117.108001708984
2244,120.597640991211
2243,122.282249450684
2242,118.249687194824
2241,113.495536804199
2240,121.077026367188
2239,123.256721496582
2238,112.32804107666
2237,110.769760131836
2236,112.453498840332
2235,109.414619445801
2234,115.214668273926
2233,122.252532958984
2232,120.638481140137
2231,124.72924041748
2230,133.551116943359
2229,136.94889831543
2228,135.718002319336
2227,134.837280273438
2226,138.27018737793
2225,140.075347900391
2224,140.645721435547
2223,144.943389892578
2222,139.1943359375
2221,125.621292114258
2220,126.593795776367
2219,125.379379272461
2218,112.646179199219
2217,110.213912963867
2216,116.477142333984
2215,123.361366271973
2214,132.448638916016
2213,135.197540283203
2212,124.683372497559
2211,113.546669006348
2210,114.633102416992
2209,128.830184936523
2208,127.878280639648
2207,114.822242736816
2206,116.634971618652
2205,123.316040039063
2204,124.894165039063
2203,121.823631286621
2202,112.720657348633
2201,104.634490966797
2200,112.562240600586
2199,116.703300476074
2198,103.921821594238
2197,97.9607772827148
2196,103.288597106934
2195,110.322608947754
2194,107.413185119629
2193,98.052734375
2192,92.8219833374023
2191,91.3698196411133
2190,92.8223876953125
2189,96.8426361083984
2188,99.6593551635742
2187,97.4157257080078
2186,89.3210296630859
2185,85.9495239257813
2184,88.2520141601563
2183,82.2992935180664
2182,86.6650238037109
2181,106.705047607422
2180,100.630661010742
2179,84.7892456054688
2178,90.4151458740234
2177,95.4874954223633
2176,90.3512725830078
2175,81.9718322753906
2174,80.3099060058594
2173,82.8622589111328
2172,78.8448867797852
2171,77.4033203125
2170,82.233154296875
2169,84.3644485473633
2168,85.3401718139648
2167,86.9387130737305
2166,85.3175888061523
2165,88.5021438598633
2164,99.8167190551758
2163,99.671501159668
2162,93.725341796875
2161,96.7866134643555
2160,92.9419708251953
2159,84.8797836303711
2158,90.3149871826172
2157,96.1046447753906
2156,91.9493789672852
2155,82.4044342041016
2154,79.3819808959961
2153,85.0751113891602
2152,84.207649230957
2151,79.011833190918
2150,78.4426727294922
2149,84.1545639038086
2148,86.4996337890625
2147,77.6738204956055
2146,75.9173889160156
2145,82.7411346435547
2144,83.0963897705078
