Raman Shift (cm-1),reference isoprene
3216,15.7437105178833
3215,20.6507472991943
3214,15.9383134841919
3213,10.5506525039673
3212,15.0760879516602
3211,20.1372547149658
3210,23.2380352020264
3209,20.0735359191895
3208,11.2339878082275
3207,11.6863641738892
3206,12.5426359176636
3205,15.5919790267944
3204,22.8801002502441
3203,14.2271375656128
3202,15.6918859481812
3201,26.4009037017822
3200,25.1857128143311
3199,20.958324432373
3198,26.8019828796387
3197,29.297290802002
3196,19.8602027893066
3195,27.8258304595947
3194,28.3159008026123
3193,22.6335411071777
3192,26.6842346191406
3191,23.2378063201904
3190,22.8003273010254
3189,29.9399261474609
3188,37.3889656066895
3187,40.1007347106934
3186,38.1032562255859
3185,33.4237594604492
3184,30.6640338897705
3183,34.4740905761719
3182,31.299654006958
3181,26.8176708221436
3180,34.0146522521973
3179,42.6275634765625
3178,41.560791015625
3177,33.9622535705566
3176,30.6885719299316
3175,34.290885925293
3174,35.9761962890625
3173,34.5056648254395
3172,35.4976234436035
3171,38.8992309570313
3170,35.805778503418
3169,35.1084098815918
3168,43.5585556030273
3167,38.0315170288086
3166,34.3697624206543
3165,38.7588043212891
3164,40.0338478088379
3163,35.4509315490723
3162,33.8838768005371
3161,37.7158660888672
3160,39.9811363220215
3159,35.7939186096191
3158,36.59912109375
3157,39.5519409179688
3156,35.1103515625
3155,36.8582458496094
3154,43.0451011657715
3153,48.6842079162598
3152,51.0769805908203
3151,46.0170593261719
3150,40.7233428955078
3149,38.3723945617676
3148,39.1975593566895
3147,52.3582649230957
3146,51.5313873291016
3145,41.9019508361816
3144,53.0741081237793
3143,52.7501678466797
3142,47.2520561218262
3141,45.2951049804688
3140,39.4947471618652
3139,40.0583763122559
3138,44.4779968261719
3137,44.4521598815918
3136,38.7397918701172
3135,38.4549789428711
3134,44.6129493713379
3133,49.8741226196289
3132,49.4703636169434
3131,52.871940612793
3130,53.9273872375488
3129,48.6821823120117
3128,47.6441955566406
3127,47.5305023193359
3126,46.2888336181641
3125,44.7847099304199
3124,44.1891899108887
3123,47.0303726196289
3122,48.562858581543
3121,49.4313697814941
3120,59.7959327697754
3119,54.0085029602051
3118,44.6361961364746
3117,54.8022346496582
3116,60.719970703125
3115,56.0010375976563
3114,51.8817138671875
3113,57.1126670837402
3112,59.6505126953125
3111,60.1090927124023
3110,62.3614654541016
3109,64.914176940918
3108,61.8858604431152
3107,65.0798110961914
3106,74.6917419433594
3105,77.5673522949219
3104,78.665771484375
3103,78.2541046142578
3102,79.144905090332
3101,87.2726287841797
3100,94.8223190307617
3099,92.083610534668
3098,86.884407043457
3097,97.2704010009766
3096,98.8185958862305
3095,98.1453323364258
3094,108.567459106445
3093,115.322395324707
3092,110.13794708252
3091,110.02685546875
3090,122.398826599121
3089,117.397438049316
3088,109.029586791992
3087,109.569747924805
3086,114.380783081055
3085,114.501083374023
3084,110.553695678711
3083,110.492584228516
3082,117.164909362793
3081,115.836952209473
3080,113.697525024414
3079,114.690582275391
3078,111.016624450684
3077,106.975654602051
3076,108.015419006348
3075,109.659515380859
3074,103.413421630859
3073,106.492164611816
3072,106.599952697754
3071,97.7987213134766
3070,106.414657592773
3069,109.349853515625
3068,101.918548583984
3067,98.6848678588867
3066,102.908638000488
3065,108.749732971191
3064,112.292892456055
3063,113.73021697998
3062,112.987182617188
3061,107.54662322998
3060,106.652763366699
3059,119.025978088379
3058,118.559234619141
3057,111.933891296387
3056,111.868286132813
3055,115.423957824707
3054,125.059684753418
3053,131.632400512695
3052,128.920715332031
3051,126.970230102539
3050,131.161804199219
3049,136.735397338867
3048,138.562118530273
3047,143.295913696289
3046,157.550582885742
3045,162.155166625977
3044,145.422180175781
3043,158.039733886719
3042,165.238922119141
3041,163.209930419922
3040,192.440643310547
3039,182.378723144531
3038,168.507308959961
3037,185.794403076172
3036,186.512344360352
3035,202.630554199219
3034,215.096282958984
3033,202.866470336914
3032,218.648635864258
3031,235.371505737305
3030,245.862274169922
